[LOG] 2024-11-29T20:54:15.395Z HTTP Endpoint: https://crow.resilientdb.com/v1/blocks
[LOG] 2024-11-29T20:54:15.401Z WebSocket Endpoint: wss://crow.resilientdb.com/blockupdatelistener
[LOG] 2024-11-29T20:54:15.402Z Initializing WebSocketMongoSync...
[LOG] 2024-11-29T20:54:18.812Z Connected to MongoDB database: myDatabase, collection: polls
[LOG] 2024-11-29T20:54:26.168Z Checking for blocks from 7701 to 7800
[LOG] 2024-11-29T20:54:26.260Z Checking for blocks from 7801 to 7900
[LOG] 2024-11-29T20:54:26.351Z Checking for blocks from 7901 to 8000
[LOG] 2024-11-29T20:54:26.445Z Checking for blocks from 8001 to 8100
[LOG] 2024-11-29T20:54:26.535Z Checking for blocks from 8101 to 8200
[LOG] 2024-11-29T20:54:26.646Z Checking for blocks from 8201 to 8300
[LOG] 2024-11-29T20:54:26.732Z Checking for blocks from 8301 to 8400
[LOG] 2024-11-29T20:54:26.820Z Checking for blocks from 8401 to 8500
[LOG] 2024-11-29T20:54:26.908Z Checking for blocks from 8501 to 8600
[LOG] 2024-11-29T20:54:26.998Z Checking for blocks from 8601 to 8700
[LOG] 2024-11-29T20:54:27.095Z Checking for blocks from 8701 to 8800
[LOG] 2024-11-29T20:54:27.188Z Checking for blocks from 8801 to 8900
[LOG] 2024-11-29T20:54:27.279Z Checking for blocks from 8901 to 9000
[LOG] 2024-11-29T20:54:27.372Z Checking for blocks from 9001 to 9100
[LOG] 2024-11-29T20:54:27.460Z Checking for blocks from 9101 to 9200
[LOG] 2024-11-29T20:54:27.552Z Checking for blocks from 9201 to 9300
[LOG] 2024-11-29T20:54:27.638Z Checking for blocks from 9301 to 9400
[LOG] 2024-11-29T20:54:27.733Z Checking for blocks from 9401 to 9500
[LOG] 2024-11-29T20:54:27.826Z Checking for blocks from 9501 to 9600
[LOG] 2024-11-29T20:54:27.919Z Checking for blocks from 9601 to 9700
[LOG] 2024-11-29T20:54:28.015Z Checking for blocks from 9701 to 9800
[LOG] 2024-11-29T20:54:28.105Z Checking for blocks from 9801 to 9900
[LOG] 2024-11-29T20:54:28.211Z Checking for blocks from 9901 to 10000
[LOG] 2024-11-29T20:54:28.304Z Checking for blocks from 10001 to 10100
[LOG] 2024-11-29T20:54:28.546Z Checking for blocks from 10101 to 10200
[LOG] 2024-11-29T20:54:28.641Z Checking for blocks from 10201 to 10300
[LOG] 2024-11-29T20:54:28.736Z Checking for blocks from 10301 to 10400
[LOG] 2024-11-29T20:54:28.827Z Checking for blocks from 10401 to 10500
[LOG] 2024-11-29T20:54:28.918Z Checking for blocks from 10501 to 10600
[LOG] 2024-11-29T20:54:29.017Z Checking for blocks from 10601 to 10700
[LOG] 2024-11-29T20:54:29.111Z Checking for blocks from 10701 to 10800
[LOG] 2024-11-29T20:54:29.206Z Checking for blocks from 10801 to 10900
[LOG] 2024-11-29T20:54:29.299Z Checking for blocks from 10901 to 11000
[LOG] 2024-11-29T20:54:29.401Z Checking for blocks from 11001 to 11100
[LOG] 2024-11-29T20:54:29.494Z Checking for blocks from 11101 to 11200
[LOG] 2024-11-29T20:54:29.586Z Checking for blocks from 11201 to 11300
[LOG] 2024-11-29T20:54:29.681Z Checking for blocks from 11301 to 11400
[LOG] 2024-11-29T20:54:29.774Z Checking for blocks from 11401 to 11500
[LOG] 2024-11-29T20:54:29.866Z Checking for blocks from 11501 to 11600
[LOG] 2024-11-29T20:54:29.960Z Checking for blocks from 11601 to 11700
[LOG] 2024-11-29T20:54:30.053Z Checking for blocks from 11701 to 11800
[LOG] 2024-11-29T20:54:30.148Z Checking for blocks from 11801 to 11900
[LOG] 2024-11-29T20:54:30.243Z Checking for blocks from 11901 to 12000
[LOG] 2024-11-29T20:54:30.336Z Checking for blocks from 12001 to 12100
[LOG] 2024-11-29T20:54:30.437Z Checking for blocks from 12101 to 12200
[LOG] 2024-11-29T20:54:30.534Z Checking for blocks from 12201 to 12300
[LOG] 2024-11-29T20:54:30.638Z Checking for blocks from 12301 to 12400
[LOG] 2024-11-29T20:54:30.731Z Checking for blocks from 12401 to 12500
[LOG] 2024-11-29T20:54:30.834Z Checking for blocks from 12501 to 12600
[LOG] 2024-11-29T20:54:30.925Z Checking for blocks from 12601 to 12700
[LOG] 2024-11-29T20:54:31.016Z Checking for blocks from 12701 to 12800
[LOG] 2024-11-29T20:54:31.109Z Checking for blocks from 12801 to 12900
[LOG] 2024-11-29T20:54:31.201Z Checking for blocks from 12901 to 13000
[LOG] 2024-11-29T20:54:31.297Z Checking for blocks from 13001 to 13100
[LOG] 2024-11-29T20:54:31.391Z Checking for blocks from 13101 to 13200
[LOG] 2024-11-29T20:54:31.484Z Checking for blocks from 13201 to 13300
[LOG] 2024-11-29T20:54:31.577Z Checking for blocks from 13301 to 13400
[LOG] 2024-11-29T20:54:31.671Z Checking for blocks from 13401 to 13500
[LOG] 2024-11-29T20:54:31.771Z Checking for blocks from 13501 to 13600
[LOG] 2024-11-29T20:54:31.881Z Checking for blocks from 13601 to 13700
[LOG] 2024-11-29T20:54:31.985Z Checking for blocks from 13701 to 13800
[LOG] 2024-11-29T20:54:32.082Z Checking for blocks from 13801 to 13900
[LOG] 2024-11-29T20:54:32.199Z Checking for blocks from 13901 to 14000
[LOG] 2024-11-29T20:54:32.293Z Checking for blocks from 14001 to 14100
[LOG] 2024-11-29T20:54:32.390Z Checking for blocks from 14101 to 14200
[LOG] 2024-11-29T20:54:32.562Z Checking for blocks from 14201 to 14300
[LOG] 2024-11-29T20:54:32.664Z Checking for blocks from 14301 to 14400
[LOG] 2024-11-29T20:54:32.760Z Checking for blocks from 14401 to 14500
[LOG] 2024-11-29T20:54:32.853Z Checking for blocks from 14501 to 14600
[LOG] 2024-11-29T20:54:32.949Z Checking for blocks from 14601 to 14700
[LOG] 2024-11-29T20:54:33.049Z Checking for blocks from 14701 to 14800
[LOG] 2024-11-29T20:54:33.144Z Checking for blocks from 14801 to 14900
[LOG] 2024-11-29T20:54:33.238Z Checking for blocks from 14901 to 15000
[LOG] 2024-11-29T20:54:33.335Z Checking for blocks from 15001 to 15100
[LOG] 2024-11-29T20:54:33.436Z Checking for blocks from 15101 to 15200
[LOG] 2024-11-29T20:54:33.529Z Checking for blocks from 15201 to 15300
[LOG] 2024-11-29T20:54:33.621Z Checking for blocks from 15301 to 15400
[LOG] 2024-11-29T20:54:33.713Z Checking for blocks from 15401 to 15500
[LOG] 2024-11-29T20:54:33.809Z Checking for blocks from 15501 to 15600
[LOG] 2024-11-29T20:54:33.905Z Checking for blocks from 15601 to 15700
[LOG] 2024-11-29T20:54:34.006Z Checking for blocks from 15701 to 15800
[LOG] 2024-11-29T20:54:34.097Z Checking for blocks from 15801 to 15900
[LOG] 2024-11-29T20:54:34.198Z Checking for blocks from 15901 to 16000
[LOG] 2024-11-29T20:54:34.304Z Checking for blocks from 16001 to 16100
[LOG] 2024-11-29T20:54:34.404Z Checking for blocks from 16101 to 16200
[LOG] 2024-11-29T20:54:34.497Z Checking for blocks from 16201 to 16300
[LOG] 2024-11-29T20:54:34.590Z Checking for blocks from 16301 to 16400
[LOG] 2024-11-29T20:54:34.683Z Checking for blocks from 16401 to 16500
[LOG] 2024-11-29T20:54:34.774Z Checking for blocks from 16501 to 16600
[LOG] 2024-11-29T20:54:34.883Z Checking for blocks from 16601 to 16700
[LOG] 2024-11-29T20:54:34.976Z Checking for blocks from 16701 to 16800
[LOG] 2024-11-29T20:54:35.083Z Checking for blocks from 16801 to 16900
[LOG] 2024-11-29T20:54:35.180Z Checking for blocks from 16901 to 17000
[LOG] 2024-11-29T20:54:35.285Z Checking for blocks from 17001 to 17100
[LOG] 2024-11-29T20:54:35.379Z Checking for blocks from 17101 to 17200
[LOG] 2024-11-29T20:54:35.470Z Checking for blocks from 17201 to 17300
[LOG] 2024-11-29T20:54:35.564Z Checking for blocks from 17301 to 17400
[LOG] 2024-11-29T20:54:35.657Z Checking for blocks from 17401 to 17500
[LOG] 2024-11-29T20:54:35.747Z Checking for blocks from 17501 to 17600
[LOG] 2024-11-29T20:54:35.840Z Checking for blocks from 17601 to 17700
[LOG] 2024-11-29T20:54:35.933Z Checking for blocks from 17701 to 17800
[LOG] 2024-11-29T20:54:36.024Z Checking for blocks from 17801 to 17900
[LOG] 2024-11-29T20:54:36.116Z Checking for blocks from 17901 to 18000
[LOG] 2024-11-29T20:54:36.211Z Checking for blocks from 18001 to 18100
[LOG] 2024-11-29T20:54:36.307Z Checking for blocks from 18101 to 18200
[LOG] 2024-11-29T20:54:36.402Z Checking for blocks from 18201 to 18300
[LOG] 2024-11-29T20:54:36.500Z Checking for blocks from 18301 to 18400
[LOG] 2024-11-29T20:54:36.593Z Checking for blocks from 18401 to 18500
[LOG] 2024-11-29T20:54:36.685Z Checking for blocks from 18501 to 18600
